id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Diff,Defect_Status,Defect_Type
4207011,2,11,0.156,0.166,0.192,2.723,265.0,0.012,20,357,36.6,0.041,595.0,12.5,2.0,2.2,671.6,6.5,26.1,2.7,33.2,57.4,330.0,0,Normal
4208012,2,12,0.157,0.166,0.204,2.73,264.0,0.013500000000000002,19,359,36.5,0.04,594.0,12.5,2.0,2.2,672.1,6.4,26.2,2.71,33.3,57.0,330.0,0,Normal
4209013,2,13,0.156,0.17,0.204,2.715,265.0,0.012,18,361,36.5,0.041,595.0,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,330.0,0,Normal
4210014,2,14,0.154,0.17,0.202,2.717,264.0,0.011,20,364,36.5,0.042,595.0,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,331.0,0,Normal
4211015,2,15,0.146,0.16,0.198,2.684,264.0,0.012,20,357,36.5,0.042,595.0,12.5,2.0,2.2,672.4,6.3,26.2,2.71,33.6,56.4,331.0,0,Normal
4212016,2,16,0.154,0.174,0.204,2.699,264.0,0.012,20,359,36.4,0.042,594.0,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,330.0,0,Normal
4213017,2,17,0.158,0.166,0.206,2.678,265.0,0.011,18,363,36.5,0.042,596.0,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,331.0,0,Normal
4214018,2,18,0.16,0.162,0.204,2.703,264.0,0.011,18,363,36.4,0.042,594.0,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,330.0,0,Normal
4215019,2,19,0.154,0.17,0.205,2.669,265.0,0.011,18,354,36.4,0.042,595.0,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,330.0,0,Normal
4216020,2,20,0.158,0.164,0.205,2.7,264.0,0.013500000000000002,18,355,36.3,0.041,594.0,12.5,2.0,2.2,671.2,6.1,26.2,2.71,33.9,56.0,330.0,0,Normal
4217021,2,21,0.158,0.164,0.205,2.7,264.0,0.013500000000000002,18,355,36.3,0.041,594.0,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,330.0,0,Normal
4218022,2,22,0.143,0.162,0.206,2.698,264.0,0.012,19,357,36.4,0.041,595.0,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,331.0,0,Normal
4219023,2,23,0.147,0.174,0.205,2.694,264.0,0.009499999999999998,20,357,36.4,0.041,595.0,12.5,2.0,2.2,668.7,6.0,26.2,2.71,33.9,55.7,331.0,0,Normal
4220024,2,24,0.152,0.17,0.206,2.691,264.0,0.011,19,357,36.5,0.042,595.0,12.5,2.0,2.2,668.7,6.0,26.2,2.71,33.9,55.7,331.0,0,Normal
4221025,2,25,0.15,0.168,0.21,2.705,264.0,0.011,20,357,36.4,0.042,595.0,12.4,2.0,2.2,667.0,5.9,26.2,2.71,33.8,55.8,331.0,0,Normal
4222026,2,26,0.157,0.168,0.21499999999999997,2.691,264.0,0.012,20,357,36.4,0.044,594.0,12.4,2.0,2.2,665.9,5.8,26.2,2.7,33.8,56.0,330.0,0,Normal
4223027,2,27,0.157,0.166,0.21,2.713,265.0,0.012,19,359,36.4,0.041,595.0,12.4,2.0,2.2,665.9,5.8,26.2,2.7,33.8,56.0,330.0,0,Normal
4224028,2,28,0.157,0.17,0.204,2.724,265.0,0.011,19,361,36.4,0.041,595.0,12.4,2.0,2.2,665.4,5.8,26.2,2.71,33.7,56.0,330.0,0,Normal
4225029,2,29,0.146,0.162,0.198,2.722,265.0,0.011,18,359,36.4,0.042,595.0,12.4,2.0,2.2,665.4,5.8,26.2,2.71,33.7,56.0,330.0,0,Normal
4226030,2,30,0.158,0.162,0.206,2.727,264.0,0.011,16,348,36.4,0.041,594.0,12.4,2.0,2.2,664.5,5.7,26.2,2.7,33.8,55.9,330.0,0,Normal
4227031,2,31,0.152,0.164,0.203,2.724,264.0,0.013500000000000002,18,348,36.4,0.041,595.0,12.4,2.0,2.2,664.4,5.6,26.2,2.7,33.8,55.8,331.0,0,Normal
4228032,2,32,0.16,0.172,0.204,2.698,264.0,0.012,17,348,36.3,0.042,594.0,12.2,2.0,2.0,664.4,5.6,26.2,2.7,33.8,55.8,330.0,0,Normal
4229033,2,33,0.152,0.168,0.206,2.722,265.0,0.013,16,357,36.1,0.042,595.0,12.2,2.0,2.0,664.5,5.6,26.2,2.67,33.7,55.8,330.0,0,Normal
4230034,2,34,0.158,0.17,0.21,2.695,264.0,0.012,18,357,36.3,0.041,594.0,12.2,2.0,2.0,664.5,5.6,26.2,2.67,33.7,55.8,330.0,0,Normal
4231035,2,35,0.156,0.174,0.2,2.709,264.0,0.011,18,359,36.1,0.043,594.0,12.2,2.0,2.0,664.7,5.6,26.2,2.7,33.7,55.7,330.0,0,Normal
4232036,2,36,0.158,0.162,0.2,2.715,264.0,0.011,18,357,36.2,0.042,594.0,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,330.0,0,Normal
4233037,2,37,0.146,0.163,0.208,2.719,265.0,0.012,19,359,36.2,0.042,595.0,12.2,2.0,2.0,665.2,5.5,26.2,2.7,33.7,55.6,330.0,0,Normal
4234038,2,38,0.15,0.172,0.196,2.694,264.0,0.012,18,359,36.3,0.042,594.0,12.2,2.0,2.0,666.0,5.5,26.2,2.68,33.6,55.4,330.0,0,Normal
4235039,2,39,0.149,0.168,0.21,2.729,264.0,0.012,18,357,36.6,0.041,594.0,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,330.0,0,Normal
4236040,2,40,0.158,0.168,0.212,2.703,264.0,0.012,18,359,36.7,0.042,595.0,12.7,2.0,2.5,666.3,5.5,26.1,2.67,33.4,55.3,331.0,0,Normal
4237041,2,41,0.15,0.17,0.208,2.716,264.0,0.011,17,359,36.6,0.04,594.0,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,330.0,0,Normal
4238042,2,42,0.154,0.164,0.206,2.733,264.0,0.012,17,359,36.6,0.042,594.0,12.7,2.0,2.5,666.5,5.4,26.1,2.69,33.4,55.5,330.0,0,Normal
4239043,2,43,0.156,0.166,0.192,2.726,264.0,0.012,17,348,36.6,0.042,594.0,12.7,2.0,2.5,666.1,5.4,26.2,2.71,33.4,55.4,330.0,0,Normal
4240044,2,44,0.16,0.162,0.205,2.72,264.0,0.01,16,350,36.5,0.042,595.0,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,331.0,0,Normal
4241045,2,45,0.157,0.16,0.206,2.73,265.0,0.011,17,352,36.6,0.042,596.0,12.7,2.0,2.5,665.5,5.5,26.2,2.69,33.4,55.4,331.0,0,Normal
4242046,2,46,0.157,0.16,0.206,2.73,265.0,0.011,17,352,36.6,0.042,596.0,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,331.0,0,Normal
4243047,2,47,0.152,0.172,0.206,2.73,264.0,0.011,16,361,36.5,0.042,594.0,12.7,2.0,2.5,664.8,5.6,26.2,2.68,33.3,55.5,330.0,0,Normal
4244048,2,48,0.158,0.172,0.208,2.711,264.0,0.012,17,363,36.6,0.04,595.0,12.7,2.0,2.5,664.4,5.7,26.2,2.71,33.3,55.6,331.0,0,Normal
4245049,2,49,0.155,0.165,0.21,2.73,264.0,0.012,17,355,36.7,0.041,595.0,12.7,2.0,2.5,664.2,5.8,26.2,2.68,33.3,55.7,331.0,0,Normal
4246050,2,50,0.155,0.165,0.21,2.73,264.0,0.012,17,355,36.7,0.041,595.0,12.7,2.0,2.5,664.2,5.8,26.2,2.68,33.3,55.7,331.0,0,Normal
4247051,2,51,0.162,0.166,0.208,2.744,264.0,0.012,16,355,36.7,0.041,594.0,12.7,2.0,2.5,663.9,5.8,26.2,2.69,33.4,55.9,330.0,0,Normal
4248052,2,52,0.15,0.164,0.206,2.702,264.0,0.012,15,355,36.7,0.04,595.0,12.7,2.0,2.5,664.2,5.9,26.2,2.7,33.5,55.8,331.0,0,Normal
4249053,2,53,0.156,0.164,0.195,2.696,264.0,0.012,16,355,37.0,0.041,594.0,13.0,2.5,2.7,664.2,5.9,26.2,2.7,33.5,55.8,330.0,0,Normal
4250054,2,54,0.158,0.168,0.202,2.723,264.0,0.011,14,355,37.1,0.04,594.0,13.0,2.5,2.7,664.3,6.0,26.2,2.69,33.7,55.6,330.0,0,Normal
4251055,2,55,0.158,0.162,0.202,2.71,264.0,0.011,14,355,37.0,0.04,595.0,13.0,2.5,2.7,664.3,6.0,26.2,2.69,33.7,55.6,331.0,1,Other
4252056,2,56,0.156,0.163,0.205,2.723,264.0,0.012,16,355,37.1,0.04,594.0,13.0,2.5,2.7,664.1,6.1,26.2,2.68,33.8,55.4,330.0,0,Normal
4253057,2,57,0.16,0.174,0.197,2.706,264.0,0.012,16,355,37.1,0.04,595.0,13.0,2.5,2.7,663.7,6.2,26.2,2.68,33.9,55.2,331.0,0,Normal
4254058,2,58,0.158,0.168,0.21,2.687,264.0,0.012,17,355,37.0,0.04,594.0,13.0,2.5,2.7,663.7,6.2,26.2,2.68,33.9,55.2,330.0,0,Normal
4255059,2,59,0.147,0.162,0.196,2.718,265.0,0.012,18,357,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.4,26.2,2.69,33.9,55.1,330.0,0,Normal
4256060,2,60,0.147,0.162,0.196,2.718,265.0,0.012,18,357,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.4,26.2,2.69,33.9,55.1,330.0,0,Normal
4257061,2,61,0.146,0.17,0.202,2.702,264.0,0.012,15,357,37.0,0.04,595.0,13.0,2.5,2.7,663.6,6.5,26.2,2.68,34.0,54.9,331.0,0,Normal
4258062,2,62,0.158,0.171,0.204,2.696,264.0,0.011,18,357,37.1,0.042,594.0,13.0,2.5,2.7,663.5,6.6,26.3,2.7,34.1,54.7,330.0,0,Normal
4259063,2,63,0.155,0.164,0.202,2.697,264.0,0.011,16,359,37.0,0.04,595.0,13.0,2.5,2.7,663.5,6.6,26.3,2.7,34.1,54.7,331.0,0,Normal
4260064,2,64,0.16,0.162,0.202,2.723,264.0,0.012,17,359,37.0,0.042,595.0,13.0,2.5,2.7,663.6,6.6,26.3,2.68,34.1,54.6,331.0,0,Normal
4261065,2,65,0.15,0.173,0.204,2.689,264.0,0.011,19,355,37.0,0.04,595.0,13.1,2.5,2.7,663.6,6.6,26.3,2.68,34.1,54.6,331.0,1,Other
4262066,2,66,0.16,0.162,0.2,2.699,264.0,0.01,16,359,37.0,0.04,594.0,13.1,2.5,2.7,663.5,6.6,26.3,2.68,34.1,54.5,330.0,1,Other
4263067,2,67,0.155,0.17,0.208,2.715,264.0,0.011,17,359,37.0,0.041,595.0,13.1,2.5,2.7,663.2,6.6,26.3,2.68,34.1,54.5,331.0,0,Normal
4264068,2,68,0.158,0.171,0.204,2.715,264.0,0.011,17,361,37.0,0.039,595.0,13.1,2.5,2.7,663.2,6.6,26.3,2.68,34.1,54.5,331.0,0,Normal
4265069,2,69,0.157,0.178,0.203,2.713,264.0,0.012,16,348,37.0,0.04,594.0,13.0,2.5,2.7,662.5,6.6,26.3,2.7,34.1,54.7,330.0,0,Normal
4266070,2,70,0.156,0.166,0.21,2.707,264.0,0.011,16,350,37.0,0.04,595.0,13.0,2.5,2.7,662.5,6.6,26.2,2.69,34.1,54.8,331.0,0,Normal
4267071,2,71,0.154,0.168,0.196,2.716,264.0,0.012,17,350,37.0,0.039,594.0,13.0,2.5,2.7,662.5,6.6,26.2,2.69,34.1,54.8,330.0,0,Normal
4268072,2,72,0.154,0.17,0.206,2.729,264.0,0.012,18,361,37.0,0.042,595.0,13.0,2.5,2.7,661.6,6.6,26.3,2.69,34.1,54.9,331.0,0,Normal
4269073,2,73,0.16,0.168,0.206,2.713,264.0,0.011,18,361,37.0,0.041,595.0,13.0,2.5,2.7,661.6,6.6,26.3,2.69,34.1,54.9,331.0,0,Normal
4270074,2,74,0.15,0.166,0.205,2.691,264.0,0.011,18,361,37.0,0.04,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.71,34.2,54.7,330.0,0,Normal
4271075,2,75,0.157,0.168,0.214,2.722,264.0,0.012,18,352,36.9,0.042,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.68,34.2,54.7,330.0,0,Normal
4272076,2,76,0.155,0.17,0.204,2.7,264.0,0.011,18,354,36.9,0.04,594.0,13.0,2.5,2.7,661.4,6.6,26.3,2.68,34.2,54.7,330.0,0,Normal
4273080,2,80,0.158,0.162,0.206,2.709,264.0,0.012,20,357,37.0,0.041,594.0,13.1,2.5,2.7,663.2,6.7,26.3,2.71,34.3,54.6,330.0,0,Normal
4274081,2,81,0.154,0.17,0.198,2.72,264.0,0.012,19,359,37.0,0.041,594.0,13.1,2.5,2.7,663.9,6.7,26.3,2.7,34.4,54.4,330.0,0,Normal
4275082,2,82,0.157,0.174,0.203,2.71,264.0,0.012,19,359,37.0,0.041,594.0,13.1,2.5,2.7,664.7,6.6,26.3,2.71,34.4,54.3,330.0,0,Normal
4276083,2,83,0.143,0.166,0.212,2.714,264.0,0.012,17,359,37.0,0.04,594.0,13.0,2.5,2.7,664.7,6.6,26.3,2.71,34.4,54.3,330.0,0,Normal
4277084,2,84,0.15,0.17,0.214,2.71,264.0,0.012,19,348,37.0,0.042,595.0,13.1,2.5,2.7,665.5,6.6,26.3,2.71,34.5,54.1,331.0,0,Normal
4278085,2,85,0.154,0.17,0.206,2.693,264.0,0.011,19,348,37.0,0.039,595.0,13.0,2.5,2.7,666.2,6.6,26.3,2.71,34.5,53.8,331.0,0,Normal
4279086,2,86,0.148,0.166,0.19100000000000006,2.691,264.0,0.011,19,350,36.9,0.043,594.0,13.0,2.5,2.7,666.2,6.6,26.3,2.71,34.5,53.8,330.0,0,Normal
4280087,2,87,0.158,0.172,0.197,2.697,264.0,0.011,19,364,37.0,0.042,595.0,13.0,2.5,2.7,666.7,6.6,26.3,2.71,34.6,53.6,331.0,0,Normal
4281088,2,88,0.162,0.16,0.212,2.711,264.0,0.012,19,364,37.0,0.041,595.0,13.0,2.5,2.7,666.7,6.6,26.3,2.71,34.6,53.6,331.0,0,Normal
4282089,2,89,0.162,0.16,0.212,2.711,264.0,0.012,19,364,37.0,0.041,595.0,13.0,2.5,2.7,667.4,6.6,26.3,2.72,34.7,53.5,331.0,0,Normal
4283090,2,90,0.143,0.164,0.206,2.696,264.0,0.012,16,357,37.0,0.04,595.0,13.0,2.5,2.7,668.1,6.6,26.4,2.7,34.7,53.3,331.0,0,Normal
4284091,2,91,0.155,0.172,0.21,2.726,264.0,0.011,17,357,37.0,0.042,594.0,13.0,2.5,2.7,668.1,6.6,26.4,2.7,34.7,53.3,330.0,0,Normal
4285092,2,92,0.156,0.174,0.214,2.717,264.0,0.011,18,359,37.0,0.042,594.0,13.0,2.5,2.7,668.9,6.6,26.4,2.72,34.7,53.0,330.0,0,Normal
4286093,2,93,0.156,0.174,0.214,2.717,264.0,0.011,18,359,37.0,0.042,594.0,13.0,2.5,2.7,668.9,6.6,26.4,2.72,34.7,53.0,330.0,0,Normal
4287094,2,94,0.16,0.17,0.2,2.724,264.0,0.013500000000000002,17,359,37.0,0.041,594.0,13.0,2.5,2.7,669.3,6.7,26.4,2.72,34.7,52.9,330.0,0,Normal
4288095,2,95,0.162,0.176,0.21,2.693,264.0,0.011,16,359,37.0,0.039,594.0,13.0,2.5,2.7,669.7,6.6,26.4,2.7,34.7,52.8,330.0,0,Normal
4289096,2,96,0.154,0.164,0.212,2.72,264.0,0.013500000000000002,15,350,37.0,0.041,594.0,13.0,2.5,2.7,669.7,6.6,26.4,2.7,34.7,52.8,330.0,0,Normal
4290097,2,97,0.158,0.168,0.213,2.69,264.0,0.013500000000000002,15,354,37.0,0.041,595.0,13.0,2.5,2.7,670.4,6.6,26.4,2.7,34.6,53.0,331.0,0,Normal
4291098,2,98,0.152,0.16,0.196,2.711,264.0,0.012,15,363,37.0,0.04,594.0,13.0,2.5,2.7,670.8,6.6,26.4,2.7,34.6,53.0,330.0,0,Normal
