Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Coolant_Temp,Coolant_Pressure,Factory_Temp,Factory_Humidity,Pressure_Difference,Pressure_Difference_Ratio,Velocity_2-1,Velocity_3-2,Velocity_High-3,Velocity_Max-Min,Defect_Status,Defect_Type
2,11,0.156,0.166,0.192,2.723,265.0,0.012,20,357,36.6,0.041,595.0,12.5,2.0,2.2,671.6,6.5,26.1,2.7,33.2,57.4,330,2.2452830188679247,0.01,0.0259999999999999,2.531,2.567,0,Normal
2,12,0.157,0.166,0.204,2.73,264.0,0.014,19,359,36.5,0.04,594.0,12.5,2.0,2.2,672.1,6.4,26.2,2.71,33.3,57.0,330,2.25,0.009,0.0379999999999999,2.526,2.573,0,Normal
2,13,0.156,0.17,0.204,2.715,265.0,0.012,18,361,36.5,0.041,595.0,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,330,2.2452830188679247,0.014,0.0339999999999999,2.511,2.559,0,Normal
2,14,0.154,0.17,0.202,2.717,264.0,0.011,20,364,36.5,0.042,595.0,12.5,2.0,2.2,672.4,6.4,26.2,2.7,33.5,56.7,331,2.253787878787879,0.016,0.032,2.515,2.563,0,Normal
2,15,0.146,0.16,0.198,2.684,264.0,0.012,20,357,36.5,0.042,595.0,12.5,2.0,2.2,672.4,6.3,26.2,2.71,33.6,56.4,331,2.253787878787879,0.014,0.038,2.486,2.5380000000000003,0,Normal
2,16,0.154,0.174,0.204,2.699,264.0,0.012,20,359,36.4,0.042,594.0,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,330,2.25,0.0199999999999999,0.03,2.495,2.545,0,Normal
2,17,0.158,0.166,0.206,2.678,265.0,0.011,18,363,36.5,0.042,596.0,12.5,2.0,2.2,672.5,6.3,26.2,2.69,33.7,56.2,331,2.249056603773585,0.008,0.0399999999999999,2.472,2.52,0,Normal
2,18,0.16,0.162,0.204,2.703,264.0,0.011,18,363,36.4,0.042,594.0,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,330,2.25,0.002,0.0419999999999999,2.499,2.543,0,Normal
2,19,0.154,0.17,0.205,2.669,265.0,0.011,18,354,36.4,0.042,595.0,12.5,2.0,2.2,672.4,6.2,26.2,2.71,33.8,56.1,330,2.2452830188679247,0.016,0.0349999999999999,2.464,2.515,0,Normal
2,20,0.158,0.164,0.205,2.7,264.0,0.014,18,355,36.3,0.041,594.0,12.5,2.0,2.2,671.2,6.1,26.2,2.71,33.9,56.0,330,2.25,0.006,0.0409999999999999,2.495,2.5420000000000003,0,Normal
2,21,0.158,0.164,0.205,2.7,264.0,0.014,18,355,36.3,0.041,594.0,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,330,2.25,0.006,0.0409999999999999,2.495,2.5420000000000003,0,Normal
2,22,0.143,0.162,0.206,2.698,264.0,0.012,19,357,36.4,0.041,595.0,12.5,2.0,2.2,670.1,6.0,26.2,2.69,33.9,55.7,331,2.253787878787879,0.02,0.0439999999999999,2.492,2.556,0,Normal
2,23,0.147,0.174,0.205,2.694,264.0,0.009,20,357,36.4,0.041,595.0,12.5,2.0,2.2,668.7,6.0,26.2,2.71,33.9,55.7,331,2.253787878787879,0.0269999999999999,0.031,2.489,2.547,0,Normal
