Id,Product_Type,Shot,Velocity_1,Velocity_2,Velocity_3,High_Velocity,Cylinder_Pressure,Rapid_Rise_Time,Biscuit_Thickness,Clamping_Force,Cycle_Time,Pressure_Rise_Time,Casting_Pressure,Spray_Time,Spray_1_Time,Spray_2_Time,Melting_Furnace_Temp,Air_Pressure,Air_Pressure_Min,Air_Pressure_Max,Coolant_Temp,Coolant_Temp_Min,Coolant_Temp_Max,Coolant_Pressure,Factory_Temp,Factory_Temp_Min,Factory_Temp_Max,Factory_Humidity,Factory_Humidity_Min,Factory_Humidity_Max,Short_Shot_1,Bubble_1,Exfoliation_1,Blow_Hole_1,Stain_1,Dent_1,Deformation_1,Contamination_1,Impurity_1,Crack_1,Scratch_1,Buring_Mark_1,Inclusions_1,Short_Shot_2,Bubble_2,Exfoliation_2,Blow_Hole_2,Stain_2,Dent_2,Deformation_2,Contamination_2,Impurity_2,Crack_2,Scratch_2,Buring_Mark_2,Inclusions_2,Vel_1_2_Diff,Vel_2_3_Diff,Vel_Total_Range,Any_Defect
1,1,1,0.144,0.17,0.188,2.134,214,0.008,10,258,20.7,0.044,1037,7.8,0.7,0.8,695.0,6.3,3,9,26.0,10,50,2.71,32.9,18.0,22.0,58.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.017999999999999988,0.04400000000000001,0
1002,1,2,0.144,0.17,0.182,2.124,217,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,696.4,6.3,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.011999999999999983,0.038000000000000006,0
2003,1,3,0.144,0.17,0.182,2.116,214,0.008,11,257,20.8,0.041,1037,7.8,0.7,0.8,696.4,6.3,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.011999999999999983,0.038000000000000006,0
3004,1,4,0.144,0.17,0.182,2.137,217,0.008,11,257,20.7,0.043,1051,7.8,0.7,0.8,696.4,6.3,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.2,18.0,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.011999999999999983,0.038000000000000006,1
4005,1,5,0.144,0.172,0.176,2.111,217,0.008,12,257,20.7,0.042,1052,7.8,0.7,0.8,697.9,6.4,3,9,26.1,10,50,2.69,32.9,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.0040000000000000036,0.032,0
5006,1,6,0.144,0.172,0.176,2.111,217,0.008,12,257,20.7,0.042,1052,7.8,0.7,0.8,697.9,6.4,3,9,26.1,10,50,2.69,32.9,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.0040000000000000036,0.032,0
6008,1,8,0.141,0.168,0.178,2.159,214,0.008,11,257,20.6,0.042,1036,7.8,0.7,0.8,699.6,6.4,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027000000000000024,0.009999999999999981,0.037000000000000005,0
7009,1,9,0.142,0.172,0.176,2.114,217,0.008,12,257,20.7,0.041,1052,7.8,0.7,0.8,699.6,6.4,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0040000000000000036,0.034,0
8010,1,10,0.142,0.172,0.176,2.114,217,0.008,12,257,20.7,0.041,1052,7.8,0.7,0.8,699.6,6.4,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0040000000000000036,0.034,0
9011,1,11,0.144,0.168,0.184,2.145,217,0.008,11,257,20.7,0.042,1051,7.8,0.7,0.8,701.4,6.5,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.9,18.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.015999999999999986,0.04000000000000001,1
10012,1,12,0.144,0.168,0.184,2.145,217,0.008,11,257,20.7,0.042,1051,7.8,0.7,0.8,701.4,6.5,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.015999999999999986,0.04000000000000001,0
11013,1,13,0.144,0.166,0.176,2.12,217,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,701.4,6.5,3,9,26.1,10,50,2.71,32.9,18.0,22.0,57.9,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.009999999999999981,0.032,0
12014,1,14,0.144,0.17,0.176,2.112,214,0.01,12,257,20.7,0.041,1036,7.8,0.7,0.8,703.1,6.5,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.005999999999999978,0.032,0
13015,1,15,0.14,0.168,0.184,2.154,217,0.008,11,257,20.8,0.041,1051,7.8,0.7,0.8,703.1,6.5,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.015999999999999986,0.043999999999999984,0
14016,1,16,0.142,0.168,0.178,2.13,214,0.007,11,257,20.6,0.043,1036,7.8,0.7,0.8,703.1,6.5,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.009999999999999981,0.036000000000000004,0
15017,1,17,0.142,0.168,0.176,2.128,217,0.008,11,257,20.8,0.043,1052,7.8,0.7,0.8,704.8,6.6,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.00799999999999998,0.034,0
16018,1,18,0.142,0.168,0.176,2.142,214,0.008,11,255,20.7,0.044,1037,7.9,0.7,0.8,704.8,6.6,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.00799999999999998,0.034,0
17019,1,19,0.142,0.168,0.182,2.114,217,0.009,11,257,20.7,0.044,1051,7.8,0.7,0.8,706.5,6.6,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.013999999999999985,0.04000000000000001,0
18020,1,20,0.142,0.166,0.182,2.131,214,0.008,11,257,20.7,0.044,1036,7.8,0.7,0.8,706.5,6.6,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.015999999999999986,0.04000000000000001,0
19021,1,21,0.142,0.17,0.185,2.147,217,0.008,11,255,20.7,0.041,1052,7.8,0.7,0.8,706.5,6.6,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028000000000000025,0.014999999999999986,0.04300000000000001,0
20022,1,22,0.14,0.168,0.179,2.154,214,0.007,11,257,20.7,0.041,1036,7.8,0.7,0.8,708.4,6.6,3,9,26.1,10,50,2.72,32.8,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.010999999999999982,0.03899999999999998,1
21023,1,23,0.146,0.168,0.186,2.12,217,0.008,11,257,20.7,0.044,1052,7.8,0.7,0.8,708.4,6.6,3,9,26.1,10,50,2.72,32.8,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.017999999999999988,0.04000000000000001,1
22024,1,24,0.142,0.166,0.18,2.155,218,0.007,11,257,20.7,0.041,1053,7.8,0.7,0.8,708.4,6.6,3,9,26.1,10,50,2.72,32.8,18.0,22.0,58.2,18.0,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02400000000000002,0.013999999999999985,0.038000000000000006,1
23025,1,25,0.142,0.166,0.18,2.155,218,0.007,11,257,20.7,0.041,1053,7.8,0.7,0.8,710.1,6.8,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.013999999999999985,0.038000000000000006,0
24026,1,26,0.144,0.168,0.18,2.109,217,0.006,11,255,20.7,0.042,1052,7.8,0.7,0.8,710.1,6.8,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.011999999999999983,0.036000000000000004,0
25027,1,27,0.144,0.168,0.178,2.161,214,0.018,11,257,20.5,0.042,1036,7.8,0.7,0.8,710.1,6.8,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.02400000000000002,0.009999999999999981,0.034,1
26028,1,28,0.142,0.17,0.176,2.148,217,0.007,11,257,20.7,0.042,1052,7.8,0.7,0.8,711.9,6.8,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028000000000000025,0.005999999999999978,0.034,0
27029,1,29,0.144,0.168,0.176,2.138,214,0.008,11,257,20.4,0.044,1037,7.8,0.7,0.8,711.9,6.8,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.00799999999999998,0.032,0
28030,1,30,0.144,0.168,0.182,2.089,217,0.008,11,257,20.7,0.041,1052,7.9,0.7,0.8,711.9,6.8,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.013999999999999985,0.038000000000000006,1
29031,1,31,0.139,0.17,0.176,2.144,218,0.007,11,257,20.7,0.044,1054,7.8,0.7,0.8,713.5,6.9,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.005999999999999978,0.03699999999999998,0
30032,1,32,0.144,0.168,0.184,2.152,214,0.008,11,255,20.6,0.033,1038,7.8,0.7,0.8,713.5,6.9,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.015999999999999986,0.04000000000000001,0
31033,1,33,0.142,0.166,0.186,2.113,217,0.007,11,257,20.7,0.044,1052,7.8,0.7,0.8,713.5,6.9,3,9,26.1,10,50,2.7,32.8,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.01999999999999999,0.04400000000000001,0
32034,1,34,0.144,0.17,0.18,2.114,214,0.008,11,255,20.5,0.044,1036,7.9,0.7,0.8,715.3,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.009999999999999981,0.036000000000000004,0
33035,1,35,0.144,0.168,0.178,2.134,217,0.008,10,255,20.8,0.043,1052,7.9,0.7,0.8,715.3,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.009999999999999981,0.034,1
34036,1,36,0.142,0.17,0.178,2.155,214,0.007,11,257,20.7,0.042,1036,7.9,0.7,0.8,715.3,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.5,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028000000000000025,0.00799999999999998,0.036000000000000004,0
35037,1,37,0.14,0.168,0.176,2.153,217,0.007,11,257,20.7,0.041,1052,7.8,0.7,0.8,716.7,7.0,3,9,26.1,10,50,2.69,32.8,18.0,22.0,58.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.00799999999999998,0.035999999999999976,0
36038,1,38,0.141,0.168,0.181,2.15,214,0.007,11,257,20.7,0.041,1036,7.8,0.7,0.8,716.7,7.0,3,9,26.1,10,50,2.69,32.8,18.0,22.0,58.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027000000000000024,0.012999999999999984,0.04000000000000001,0
37039,1,39,0.144,0.166,0.176,2.155,217,0.008,11,255,20.7,0.041,1052,7.9,0.7,0.8,716.7,7.0,3,9,26.1,10,50,2.69,32.8,18.0,22.0,58.3,18.0,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.009999999999999981,0.032,1
38040,1,40,0.142,0.166,0.174,2.159,214,0.008,11,255,20.8,0.041,1037,7.9,0.7,0.8,718.0,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.00799999999999998,0.032,1
39041,1,41,0.144,0.168,0.18,2.156,217,0.008,11,255,20.8,0.041,1052,7.9,0.7,0.8,718.0,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.3,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.011999999999999983,0.036000000000000004,0
40042,1,42,0.146,0.168,0.186,2.121,214,0.008,11,257,20.7,0.044,1037,7.9,0.7,0.8,718.0,6.9,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.3,18.0,22.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.017999999999999988,0.04000000000000001,1
41043,1,43,0.146,0.168,0.186,2.121,214,0.008,11,257,20.7,0.044,1037,7.9,0.7,0.8,719.0,6.8,3,9,26.1,10,50,2.71,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.017999999999999988,0.04000000000000001,1
42044,1,44,0.144,0.166,0.186,2.12,214,0.007,11,255,20.8,0.044,1037,7.8,0.7,0.8,719.0,6.8,3,9,26.1,10,50,2.71,32.9,18.0,22.0,58.2,18.0,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.01999999999999999,0.04200000000000001,1
43045,1,45,0.144,0.166,0.182,2.12,217,0.008,11,255,20.7,0.044,1051,7.8,0.7,0.8,719.0,6.8,3,9,26.1,10,50,2.71,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.015999999999999986,0.038000000000000006,0
44046,1,46,0.142,0.168,0.184,2.143,214,0.008,11,255,20.7,0.041,1036,7.8,0.7,0.8,719.6,6.7,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.2,18.0,22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.015999999999999986,0.04200000000000001,1
45047,1,47,0.144,0.166,0.178,2.111,217,0.01,12,255,20.7,0.044,1052,7.8,0.7,0.8,719.6,6.7,3,9,26.1,10,50,2.7,32.9,18.0,22.0,58.2,18.0,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.011999999999999983,0.034,1
46048,1,48,0.146,0.166,0.184,2.114,214,0.01,11,257,20.7,0.043,1037,7.8,0.7,0.8,720.0,6.6,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.1,18.0,22.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020000000000000018,0.017999999999999988,0.038000000000000006,1
47049,1,49,0.142,0.166,0.187,2.155,217,0.007,11,255,20.8,0.042,1052,7.8,0.7,0.8,720.0,6.6,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.02099999999999999,0.04500000000000001,0
48050,1,50,0.142,0.168,0.174,2.145,214,0.016,12,255,20.7,0.043,1037,7.8,0.7,0.8,720.0,6.6,3,9,26.1,10,50,2.69,32.9,18.0,22.0,58.1,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.005999999999999978,0.032,0
49051,1,51,0.144,0.166,0.19,2.156,217,0.007,11,254,20.7,0.042,1052,7.8,0.7,0.8,719.7,6.5,3,9,26.1,10,50,2.7,33.0,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.023999999999999994,0.04600000000000001,0
50052,1,52,0.14,0.168,0.186,2.127,214,0.008,12,255,20.6,0.041,1036,7.8,0.7,0.8,719.7,6.5,3,9,26.1,10,50,2.7,33.0,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027999999999999997,0.017999999999999988,0.045999999999999985,0
51053,1,53,0.142,0.168,0.184,2.147,218,0.008,11,255,20.7,0.042,1053,7.8,0.7,0.8,719.7,6.5,3,9,26.1,10,50,2.7,33.0,18.0,22.0,57.8,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.015999999999999986,0.04200000000000001,0
52054,1,54,0.141,0.166,0.181,2.112,214,0.009,11,254,20.6,0.043,1038,7.8,0.7,0.8,719.0,6.5,3,9,26.1,10,50,2.7,33.2,18.0,22.0,57.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025000000000000022,0.014999999999999986,0.04000000000000001,0
53055,1,55,0.144,0.168,0.178,2.146,217,0.007,11,255,20.8,0.043,1052,7.8,0.7,0.8,719.0,6.5,3,9,26.1,10,50,2.7,33.2,18.0,22.0,57.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02400000000000002,0.009999999999999981,0.034,0
54056,1,56,0.142,0.17,0.184,2.164,214,0.008,11,254,20.8,0.041,1037,7.8,0.7,0.8,719.0,6.5,3,9,26.1,10,50,2.7,33.2,18.0,22.0,57.4,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028000000000000025,0.013999999999999985,0.04200000000000001,0
55057,1,57,0.144,0.17,0.182,2.155,217,0.007,11,255,20.7,0.041,1052,7.8,0.7,0.8,718.7,6.4,3,9,26.2,10,50,2.71,33.3,18.0,22.0,57.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.011999999999999983,0.038000000000000006,0
56058,1,58,0.144,0.17,0.182,2.155,217,0.007,11,255,20.7,0.041,1052,7.8,0.7,0.8,718.7,6.4,3,9,26.2,10,50,2.71,33.3,18.0,22.0,57.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.011999999999999983,0.038000000000000006,0
57059,1,59,0.146,0.168,0.186,2.119,215,0.008,12,255,20.6,0.043,1038,7.8,0.7,0.8,718.7,6.4,3,9,26.2,10,50,2.71,33.3,18.0,22.0,57.0,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.017999999999999988,0.04000000000000001,0
58060,1,60,0.146,0.168,0.186,2.119,215,0.008,12,255,20.6,0.043,1038,7.8,0.7,0.8,717.8,6.4,3,9,26.2,10,50,2.7,33.5,18.0,22.0,56.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02200000000000002,0.017999999999999988,0.04000000000000001,0
59061,1,61,0.141,0.168,0.187,2.149,218,0.007,11,255,20.4,0.043,1055,7.9,0.7,0.8,717.8,6.4,3,9,26.2,10,50,2.7,33.5,18.0,22.0,56.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027000000000000024,0.01899999999999999,0.04600000000000001,0
60062,1,62,0.144,0.17,0.186,2.146,215,0.008,11,255,20.7,0.043,1040,7.9,0.7,0.8,717.8,6.4,3,9,26.2,10,50,2.7,33.5,18.0,22.0,56.7,18.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026000000000000023,0.015999999999999986,0.04200000000000001,0
